Category,SKU,Title,MSRP,MAP,Current Price,Has speakeasy,Has mapp rules,Problems
MSRP!=MAP (extra tags/price),PAN201821,Machi Koro,29.95,23.96,23.96,True,False,extra_tags
MSRP!=MAP (extra tags/price),PAN201905,Machi Koro: The Expansions,29.95,23.96,23.96,True,False,extra_tags
MSRP!=MAP (extra tags/price),PAN202113,Machi Koro 2,29.95,23.96,23.96,True,False,extra_tags
MSRP!=MAP (extra tags/price),PAN202202,Splitter,14.95,4.0,5.0,False,False,price_wrong
MSRP!=MAP (extra tags/price),PANBTPHH,Boxtop Pinball: Haunted House,29.95,20.0,25.0,False,False,price_wrong
MSRP!=MAP (extra tags/price),PANDNCORE,District Noir,14.95,8.0,10.0,False,False,price_wrong
MSRP!=MAP (extra tags/price),PANFINCACORE,Finca,29.95,23.96,23.96,True,False,extra_tags
MSRP!=MAP (extra tags/price),PANGATSCORE,Gatsby,29.95,23.96,29.95,True,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),PANKNARRCORE,Knarr,34.95,27.96,27.96,True,False,extra_tags
MSRP!=MAP (extra tags/price),PANMUCORE,Mind Up,14.95,11.96,11.96,True,False,extra_tags
MSRP!=MAP (extra tags/price),PANPIXIECORE,Pixies,17.99,14.36,14.36,True,False,extra_tags
MSRP!=MAP (extra tags/price),PANREFUCORE,Refuge,29.95,23.96,29.95,True,False,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),PANRIVAGCORE,Rivages,24.95,19.96,24.95,True,False,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),PANSHACKEXP01,Shackleton Base: Below. Within. Above.,49.99,49.95,49.95,True,True,extra_tags
MSRP!=MAP (extra tags/price),PANSSAPCORE,Sea Salt and Paper,17.95,14.36,17.95,True,False,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),PANSSAPEXP02,Sea Salt and Paper: Extra Pepper,9.95,7.96,9.95,True,False,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),NM6010,Azul,39.99,31.99,34.39,False,False,price_wrong
MSRP!=MAP (extra tags/price),NMG60160EN,Azul Duel EN,29.99,23.99,23.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),NMG60200EN,All in - Predictions,21.99,17.59,17.59,True,True,extra_tags
MSRP!=MAP (extra tags/price),TFEVE01,EVE: War for New Eden - Core Box,164.99,131.99,131.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),REGAR0101EN,Pergola,49.99,39.99,49.99,True,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),TOY-EN01,Toy Battle,32.99,26.39,32.99,True,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),SCRVL0101EN,Dnup,14.99,11.99,11.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SCSPL03EN,Splendor: The Silk Road Expansion,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),SCSPL04EN,Splendor: The Sun Never Sets Expansion,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),CHI-FSB-001-007,Fortunes of Scoundrel Bay,64.99,51.99,51.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),GRL-FEY-001-645,Feya's Swamp,49.99,39.99,39.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),KOL-INI-001-477,Inis -3rd Edition,79.99,63.99,63.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),UGCSV0101EN,Cozy Stickerville,39.99,31.99,39.99,False,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),ZMGLLF0101EN,Arkham Horror Lovecraft Letter,16.99,13.59,13.59,True,True,extra_tags
MSRP!=MAP (extra tags/price),ZMGLLS0101EN,Love Letter Classic (Eco Box),15.99,12.79,12.79,True,True,extra_tags
MSRP!=MAP (extra tags/price),ZMGPSM0101EN,The Lord of the Rings: Fate of the Fellowship,79.99,63.99,63.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),MIB01NR,Mille Bornes,15.99,12.79,13.59,False,False,price_wrong
MSRP!=MAP (extra tags/price),ZYGDOBGI0201ML1,Spot It! Giant ML,27.99,22.39,22.39,True,True,extra_tags
MSRP!=MAP (extra tags/price),ZYGTIM0101EN,Timeline 2025 Refresh,12.99,10.39,10.39,True,True,extra_tags
MSRP!=MAP (extra tags/price),ZYGTIM0201EN,Timeline Games & Leisure,12.99,10.39,10.39,True,True,extra_tags
NOT FOUND IN SHOPIFY,CP217,Marvel: Crisis Protocol  Dormammu Ultimate Encounter,79.99,63.99,,,,
NOT FOUND IN SHOPIFY,CP219,Marvel: Crisis Protocol - Defenders Affiliation Pack,69.99,55.99,,,,
NOT FOUND IN SHOPIFY,MCP08,"Marvel Crisis Protocol  Mirage, Havok, Jubilee & Multiple Man",69.99,69.99,,,,
NOT FOUND IN SHOPIFY,MCP17,"Marvel: Crisis Protocol  Leader, Red Hulk & Sensational She-Hulk",79.99,79.99,,,,
NOT FOUND IN SHOPIFY,MCP20,Marvel Crisis Protocol  Criminal Underworld,64.99,64.99,,,,
NOT FOUND IN SHOPIFY,MCP22,Marvel Crisis Protocol  Avengers Brains & Brawn Character Pack,69.99,69.99,,,,
NOT FOUND IN SHOPIFY,SWQ141,Star Wars: Legion - Jedi General on BARC Speeder,69.99,69.99,,,,
NOT FOUND IN SHOPIFY,SWQ26,Star Wars: Legion  Republic Clone Commandos,29.99,23.99,,,,
NOT FOUND IN SHOPIFY,SWQ33,Star Wars: Legion - AAT Battle Tank,69.99,55.99,,,,
